Temperature,Humidity,N,P,K,Soil,Crop,Fertilizer
24.87,82.84,4,2,2.5,Clayey,rice,DAP and MOP
28.69,96.65,4,4,4,laterite,Coconut,Good NPK
20.27,81.64,4,4,2,silty clay,rice,MOP
25.07,95.02,2,2.1,3.5,sandy,Coconut,Urea and DAP
25.04,95.9,2,3.9,2.1,coastal,Coconut,Urea and MOP
20.82,84.13,2.5,4,3,clay loam,rice,Urea 
25.95,93.41,2.5,4,2,alluvial,Coconut,Urea and MOP
26.49,80.16,4.2,2.3,3.2,Clayey,rice,DAP
25.01,95.59,2,3.9,2.1,coastal,Coconut,Urea and MOP
21.87,80.19,2.9,3.5,3.9,silty clay,rice,Urea 
28.96,95.16,4,2,2.5,alluvial,Coconut,DAP and MOP
26.3,99.66,4,2,3,laterite,Coconut,DAP
27.51,94.19,4,4,4,sandy,Coconut,Good NPK
23.68,81.04,4,2,2.5,clay loam,rice,DAP and MOP
25.52,94.38,2.5,4,2,sandy,Coconut,Urea and MOP
25.79,82.11,2.2,3.5,3.9,Clayey,rice,Urea 
24.28,80.3,4,2,3,silty clay,rice,DAP
26.59,90.99,2.5,2,3,coastal,Coconut,Urea and DAP
28.11,90.02,2,2.1,3.5,laterite,Coconut,Urea and DAP
28.36,91.65,2,4,2.1,alluvial,Coconut,Urea and MOP
26.4,81.06,4,4,2,clay loam,rice,MOP
21.72,80.24,4,2,2.5,Clayey,rice,DAP and MOP
28.28,93.65,4,4,4,sandy,Coconut,Good NPK
21.97,81.9,4.2,2.3,3.2,silty clay,rice,DAP
28.97,98.1,2.2,3.5,3.9,coastal,Coconut,Urea 
27.13,95.24,4.2,2.3,3.2,laterite,Coconut,DAP
27.08,97,2.5,2,3,alluvial,Coconut,Urea and DAP
27.31,99.97,2.2,3.5,3.9,clay loam,rice,Urea 
26.53,81.42,4,4,2,Clayey,rice,MOP
20.28,82.12,2,2.1,3.5,sandy,Coconut,Urea and DAP
24.89,81.98,2.5,2,3,silty clay,rice,Urea and DAP
25.79,93.84,4,4,4,coastal,Coconut,Good NPK
29.71,96.3,4,4,1.9,alluvial,Coconut,MOP
25.1,92.36,2,3.9,2.1,laterite,Coconut,Urea and MOP
26.54,84.67,4,2,2.5,clay loam,rice,DAP and MOP
22.73,82.17,4,2,2.5,Clayey,rice,DAP and MOP
27.59,92.49,4,4,4,sandy,Coconut,Good NPK
24.53,82.74,4.2,2.3,3.2,silty clay,rice,DAP
28.48,97.77,2.5,4,2,coastal,Coconut,Urea and MOP
25.55,96.93,4,2,3,laterite,Coconut,DAP
28.88,95.11,2,2.1,3.5,alluvial,Coconut,Urea and DAP
26.09,80.38,4,4,4,clay loam,rice,Good NPK
20.13,81.6,4,4,2,Clayey,rice,MOP
28.39,99.19,2,2.1,3.5,sandy,Coconut,Urea and DAP
23.43,83.06,4,2,2.5,silty clay,rice,DAP and MOP
24.96,84.48,4.2,2.3,3.2,coastal,Coconut,DAP
27.54,94.59,4,4,4,laterite,Coconut,Good NPK
27.57,94.9,2,3.9,2.1,alluvial,Coconut,Urea and MOP
29.87,91.15,4,4,4,clay loam,rice,Good NPK
21.77,80.32,2.9,3.5,3.9,Clayey,rice,Urea 
27.06,91.11,4,2,3,sandy,Coconut,DAP
23.79,80.42,2.5,4,3,silty clay,rice,Urea 
28.13,95.65,2,2.1,3.5,coastal,Coconut,Urea and DAP
27.31,99.97,2.2,3.5,3.9,laterite,Coconut,Urea 
29.29,91.96,2,2.1,3.5,alluvial,Coconut,Urea and DAP
26.29,84.57,2.2,3.5,3.9,clay loam,rice,Urea 
25.76,83.52,4,2,2.5,Clayey,rice,DAP and MOP
27.64,99.35,4,4,4,sandy,Coconut,Good NPK
22.68,83.73,4,2,2.5,silty clay,rice,DAP and MOP
28.74,93.4,2,4,2.1,coastal,Coconut,Urea and MOP
26.61,96.97,4,2,2.5,laterite,Coconut,DAP and MOP
25.76,94.66,2.5,2,3,alluvial,Coconut,Urea and DAP
26.92,91.2,4,4,4,clay loam,rice,Good NPK
23.98,81.45,4,4,2,Clayey,rice,MOP
28.06,98.37,2,3.9,2.1,sandy,Coconut,Urea and MOP
22.68,83.46,4,2,2.5,silty clay,rice,DAP and MOP
25.85,90.93,4,4,4,coastal,Coconut,Good NPK
27.19,92.2,2.5,2,3,laterite,Coconut,Urea and DAP
26.45,93.45,2.2,3.5,3.9,alluvial,Coconut,Urea 
23.36,83.6,2.5,4,2,clay loam,rice,Urea and MOP
29.13,91.31,4,4,4,sandy,Coconut,Good NPK
20.41,82.21,4,4,2,Clayey,rice,MOP
25.6,80.15,4,4,2,silty clay,rice,MOP
29.7,95.21,2,2.1,3.5,coastal,Coconut,Urea and DAP
28.3,95.41,2,3.9,2.1,laterite,Coconut,DAP and MOP
23.86,82.23,2,4,2.1,alluvial,Coconut,Urea and MOP
26.93,81.91,2.2,3.5,3.9,clay loam,rice,Urea 
26.92,99.85,2.5,4,3,sandy,Coconut,Urea 
20.28,82.89,4,4,2,Clayey,rice,MOP
29.26,95.11,4.2,2.3,3.2,silty clay,rice,DAP
27.8,99.65,4,2,3,coastal,Coconut,DAP
27.01,96.46,4,2,2.5,laterite,Coconut,DAP and MOP
25.07,93.31,2,3.9,2.1,alluvial,Coconut,Urea and MOP
26.04,84.97,2.5,4,2,clay loam,rice,Urea and MOP
27.1,93.7,4,4,4,sandy,Coconut,Good NPK
20.88,82,2.5,4,3,Clayey,rice,Urea 
21.14,80.34,2.5,4,3,silty clay,rice,Urea 
28.83,92.17,4,4,4,coastal,Coconut,Good NPK
27.75,95.95,2.5,4,3,laterite,Coconut,Urea 
26.14,93.28,4,4,4,clay loam,rice,Good NPK
29.18,92.73,2.5,4,2,alluvial,Coconut,Urea and MOP
26.38,91.5,2,2.1,3.5,sandy,Coconut,Urea and DAP
28.27,96.94,4,2,2.5,Clayey,rice,DAP and MOP
26.58,95.79,4,4,2.1,coastal,Coconut,MOP
26.31,82.37,4,2,2.5,silty clay,rice,DAP and MOP
24.01,82.06,2,4,2.1,laterite,Coconut,Urea and MOP
26.73,81.79,4.2,2.3,3.2,clay loam,rice,DAP
28.44,95.88,4,4,2,sandy,Coconut,MOP
21.33,80.47,4.2,2.3,3.2,Clayey,rice,DAP
25.95,94.74,2,4,2.1,coastal,Coconut,Urea and MOP
22.78,82.07,4.2,2.3,3.2,silty clay,rice,DAP
29.03,90.79,2,2.1,3.5,laterite,Coconut,Urea and DAP
25.61,94.31,2.5,2,3,alluvial,Coconut,Urea and DAP
22.23,81.86,4,2,3,clay loam,rice,DAP
28.99,90.74,4,4,4,sandy,Coconut,Good NPK
24.9,80.53,4,2,3,Clayey,rice,DAP
27.15,91.49,2.5,4,3,coastal,Coconut,Urea 
25.08,80.52,4.2,2.3,3.2,silty clay,rice,DAP
25.57,97.61,4,4,4,laterite,Coconut,Good NPK
25.28,80.54,2,4,2.1,clay loam,rice,Urea and MOP
27.56,99.98,4,4,2,sandy,Coconut,MOP
21.32,83,2.5,4,3,Clayey,rice,Urea 
25.52,94.33,4,4,2.2,coastal,Coconut,MOP
24.53,80.54,4.2,2.3,3.2,silty clay,rice,DAP
22.09,83.47,4,4,4,clay loam,rice,Good NPK
26.76,92.86,2,4,2.1,laterite,Coconut,Urea and MOP
27.46,92.91,2,3.9,2.1,coastal,Coconut,Urea and MOP
25.43,82.95,4,4,4,silty clay,rice,Good NPK
23.84,83.88,2.5,2,3,clay loam,rice,Urea and DAP
28.84,99.64,2,3.9,2.1,laterite,Coconut,Urea and MOP
